,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
2312,hispanic-white,female,Okeechobee County,employed,english,1,associate's degree,37
2313,hispanic-black,female,Glades County,unemployed,english,4,graduate degree,21
2314,hispanic-white,female,Lafayette County,employed,english,NA,some university,30
2315,caucasian,female,Holmes County,employed,english,NA,less than high school,33
2316,hispanic-white,female,Jefferson County,employed,english,1,high school,53
2317,white,male,Walton County,employed,english,NA,less than high school,51
2318,hispanic-black,female,Hendry County,employed,spanish,1,less than high school,49
2319,Native American and Alaskan Native,female,Nassau County,employed,english,3,high school,44
2320,hispanic-black,male,Suwannee County,employed,english,4,high school,49
2321,Other,female,Wakulla County,employed,english,1,trade school or other certification,34
2322,black,male,Calhoun County,employed,english,1,less than high school,58
2323,caucasian,male,Lafayette County,employed,english,2,less than high school,51
2324,caucasion,female,Jefferson County,employed,english,4,high school,38
2325,caucasion,male,DeSoto County,employed,english,1,trade school or other certification,56
2326,hispanic-black,male,Union County,employed,english,NA,high school,39
2327,white,female,Nassau County,employed,english,3,high school,57
2328,white,female,Marion County,unemployed,spanish,1,high school,22
2329,caucasion,female,Gulf County,employed,english,3,high school,33
2330,white,male,Jefferson County,employed,english,1,less than high school,28
2331,caucasian,female,Santa Rosa County,employed,english,NA,high school,24
2332,caucasion,female,Jefferson County,employed,english,3,less than high school,20
2333,hispanic-black,female,Liberty County,employed,english,2,less than high school,33
2334,hispanic-white,female,Monroe County,employed,english,3,high school,44
2335,Native American and Alaskan Native,male,Franklin County,employed,english,1,bachelor's degree,59
2336,Other,female,Calhoun County,employed,english,3,trade school or other certification,20
2337,Pacific Islander,female,Gulf County,employed,english,2,high school,59
2338,hispanic-black,female,Gulf County,employed,english,1,some university,30
2339,black,female,Holmes County,unemployed,english,3,trade school or other certification,47
2340,white,male,DeSoto County,employed,spanish,NA,bachelor's degree,37
2341,caucasion,female,Glades County,employed,english,1,associate's degree,24
2342,Native American,female,Holmes County,employed,english,2,less than high school,26
2343,Pacific Islander,female,Hardee County,employed,english,NA,high school,60
2344,Native American,female,Lafayette County,employed,english,3,high school,28
2345,white,female,Gilchrist County,employed,other,1,less than high school,32
2346,hispanic-black,female,Lafayette County,employed,english,1,some university,49
2347,African American,female,Lafayette County,employed,english,1,bachelor's degree,33
2348,hispanic-white,female,Union County,employed,english,4,high school,50
2349,hispanic-black,female,Gulf County,employed,english,4,some university,60
2350,white,male,Holmes County,employed,english,1,high school,30
2351,hispanic-black,female,Okeechobee County,employed,english,4,some university,35
2352,asian,female,Jefferson County,employed,english,2,high school,49
2353,hispanic-white,male,Hendry County,employed,spanish,NA,less than high school,46
2354,hispanic-white,female,Liberty County,employed,english,2,high school,59
2355,white,female,Madison County,employed,english,1,high school,36
2356,hispanic-white,male,Taylor County,employed,spanish,1,high school,21
2357,Native American,female,Hardee County,employed,english,1,high school,55
2358,Other,male,Liberty County,employed,english,NA,high school,26
2359,African American,female,Hamilton County,employed,english,NA,some university,21
2360,hispanic-white,female,Calhoun County,unemployed,english,3,bachelor's degree,23
2361,African American,female,Lafayette County,employed,english,4,associate's degree,59
2362,Pacific Islander,female,Hamilton County,employed,english,3,high school,22
2363,Other,male,Lafayette County,employed,other,1,high school,30
2364,caucasian,male,Franklin County,employed,english,1,high school,34
2365,hispanic-white,female,Gilchrist County,employed,english,1,high school,45
2366,caucasian,female,Washington County,employed,english,NA,bachelor's degree,32
2367,hispanic-white,male,Lake County,unemployed,spanish,1,high school,36
2368,caucasion,male,Nassau County,employed,english,1,high school,27
2369,hispanic-black,male,Union County,employed,english,1,high school,48
2370,hispanic-black,female,Levy County,unemployed,spanish,4,high school,20
2371,black,male,Bradford County,employed,spanish,1,high school,42
2372,caucasion,female,Lafayette County,employed,spanish,3,less than high school,45
2373,caucasian,female,Hamilton County,employed,spanish,1,less than high school,46
2374,hispanic-white,male,Gulf County,employed,english,1,some university,22
2375,white,female,Gilchrist County,employed,english,3,high school,30
2376,African American,female,Calhoun County,employed,english,NA,bachelor's degree,50
2377,Pacific Islander,male,Lafayette County,employed,english,1,high school,46
2378,African American,female,Lafayette County,employed,english,1,less than high school,23
2379,white,female,Calhoun County,employed,english,NA,less than high school,37
2380,Pacific Islander,female,Gulf County,employed,english,3,high school,21
2381,caucasion,female,Gulf County,employed,spanish,1,less than high school,38
2382,hispanic-black,female,Washington County,employed,english,1,bachelor's degree,47
2383,caucasion,male,Bradford County,employed,english,NA,high school,26
2384,Other,female,Liberty County,unemployed,spanish,1,graduate degree,33
2385,Native American and Alaskan Native,female,Union County,unemployed,english,1,high school,21
2386,white,female,Calhoun County,employed,english,2,associate's degree,24
2387,caucasion,female,Lafayette County,employed,english,1,less than high school,28
2388,Other,female,Hardee County,employed,english,NA,some university,38
2389,white,female,Santa Rosa County,employed,english,NA,high school,35
2390,caucasion,male,Gilchrist County,employed,english,1,high school,20
2391,Native American,female,Franklin County,employed,english,1,bachelor's degree,58
2392,caucasion,female,Washington County,employed,english,NA,high school,36
2393,hispanic-white,female,Lafayette County,employed,english,1,some university,22
2394,caucasion,male,Lafayette County,employed,english,NA,high school,34
2395,Asian,female,Lafayette County,employed,english,1,bachelor's degree,29
2396,caucasion,female,Gadsden County,employed,english,4,associate's degree,51
2397,hispanic-white,female,Suwannee County,employed,english,4,associate's degree,36
2398,caucasion,female,Citrus County,employed,english,3,high school,26
2399,Asian,male,Dixie County,employed,english,NA,high school,43
2400,white,female,Franklin County,employed,english,1,high school,50
2401,Asian,female,Nassau County,employed,english,1,high school,55
2402,Native American and Alaskan Native,male,Jefferson County,employed,english,1,less than high school,32
2403,caucasion,female,Liberty County,employed,english,1,high school,38
2404,Native American,male,Franklin County,employed,spanish,3,less than high school,21
2405,caucasian,male,Franklin County,employed,english,2,high school,46
2406,Native American and Alaskan Native,female,Hernando County,employed,english,NA,high school,29
2407,Other,female,Hendry County,employed,english,1,high school,44
2408,Native American and Alaskan Native,male,Gulf County,employed,english,NA,high school,35
2409,caucasion,female,Calhoun County,unemployed,english,2,graduate degree,37
2410,caucasion,male,Lafayette County,employed,english,NA,less than high school,27
2411,Native American,female,Madison County,employed,english,1,bachelor's degree,32
2412,caucasian,female,Bradford County,unemployed,english,NA,high school,26
2413,caucasion,male,Bradford County,employed,english,NA,less than high school,55
2414,hispanic-white,female,Franklin County,unemployed,english,NA,bachelor's degree,44
2415,African American,female,Gulf County,employed,english,NA,less than high school,28
2416,Native American,female,Liberty County,employed,other,NA,high school,39
2417,caucasion,male,Baker County,employed,english,1,graduate degree,60
2418,caucasion,female,Lafayette County,employed,spanish,1,some university,36
2419,hispanic-white,male,Glades County,employed,english,1,high school,53
2420,Pacific Islander,female,Lafayette County,employed,english,1,less than high school,48
2421,Native American,male,Bradford County,unemployed,spanish,NA,associate's degree,23
2422,white,female,Volusia County,employed,spanish,1,less than high school,38
2423,hispanic-white,female,DeSoto County,employed,english,1,less than high school,55
2424,hispanic-white,female,Liberty County,employed,english,1,less than high school,36
2425,caucasion,female,Nassau County,employed,english,2,high school,49
2426,hispanic-black,female,Hardee County,employed,english,NA,high school,30
2427,hispanic-white,female,Baker County,employed,english,4,high school,53
2428,hispanic-black,male,Broward County,employed,english,1,some university,27
2429,caucasian,female,Union County,employed,english,3,high school,35
2430,hispanic-black,female,Taylor County,employed,english,1,high school,53
2431,Native American,female,Lafayette County,unemployed,english,3,high school,38
2432,caucasian,male,Lafayette County,employed,english,3,high school,25
2433,hispanic-black,female,Union County,employed,english,1,high school,50
2434,African American,female,Levy County,employed,english,NA,high school,53
